id,name,class,studentId,bookingStatus,vaccinationName,vaccinationDate,vaccinationStatus
3000,Sarah Clark,10F,9578,Pending,Hepatitis B,2025-05-19,Not Vaccinated
3001,Sophia King,10F,3759,Pending,HPV,2025-04-26,Vaccinated
3002,David Miller,10F,5051,Pending,DPT,2025-05-18,Not Vaccinated
3003,John Smith,8E,8874,,,,
3004,Chris Martin,10A,3539,Approved,Covid-19,2025-04-21,Not Vaccinated
3005,David Miller,11B,4062,Approved,Hepatitis B,2025-05-21,Vaccinated
3006,David Miller,11G,1737,Approved,Flu,2025-04-26,Vaccinated
3007,Laura Wilson,9D,1969,Approved,Covid-19,2025-05-18,Not Vaccinated
3008,Sarah Clark,10F,9426,Approved,HPV,2025-05-05,Vaccinated
3009,Alice Brown,11G,3969,Pending,Hepatitis B,2025-05-12,Not Vaccinated
3010,Chris Martin,12H,3701,,,,
3011,Laura Wilson,9D,6828,Approved,DPT,2025-04-29,Not Vaccinated
3012,Michael Lee,9D,1017,Approved,DPT,2025-05-06,Vaccinated
3013,Sarah Clark,10A,8237,Approved,Tetanus,2025-05-16,Not Vaccinated
3014,Sarah Clark,10F,6710,,,,
3015,David Miller,8E,3959,Approved,Tetanus,2025-05-01,Not Vaccinated
3016,Chris Martin,8E,5952,Pending,Tetanus,2025-05-19,Vaccinated
3017,Robert Johnson,11B,9712,Approved,Tetanus,2025-05-18,Not Vaccinated
3018,Sarah Clark,9D,6429,Pending,Hepatitis B,2025-05-09,Not Vaccinated
3019,Robert Johnson,12C,7370,,,,
3020,Alice Brown,8E,4688,Approved,Tetanus,2025-04-28,Vaccinated
3021,Emily Davis,10F,6937,Pending,HPV,2025-04-27,Not Vaccinated
3022,Sophia King,9D,4282,Approved,Hepatitis B,2025-05-19,Not Vaccinated
3023,Emily Davis,10A,1565,Approved,Flu,2025-04-27,Not Vaccinated
3024,Laura Wilson,10A,4275,,,,
3025,Alice Brown,8E,1903,,,,
3026,John Smith,8E,1285,,,,
3027,John Smith,11B,3324,Approved,HPV,2025-05-18,Not Vaccinated
3028,Sophia King,9D,6119,,,,
3029,John Smith,12C,9264,,,,
3030,Sophia King,8E,4876,Approved,Flu,2025-05-10,Not Vaccinated
3031,Emily Davis,11B,6869,Pending,DPT,2025-05-12,Vaccinated
3032,Chris Martin,11B,8292,,,,
3033,David Miller,8E,4122,,,,
3034,Sarah Clark,9D,6567,Pending,Tetanus,2025-05-06,Not Vaccinated
3035,Emily Davis,9D,4679,Pending,Covid-19,2025-05-18,Vaccinated
3036,Laura Wilson,12C,8362,Pending,Hepatitis B,2025-05-16,Not Vaccinated
3037,Laura Wilson,8E,9250,Pending,DPT,2025-04-25,Not Vaccinated
3038,Emily Davis,9D,1582,,,,
3039,Chris Martin,10A,8336,Approved,Flu,2025-05-08,Not Vaccinated
3040,Robert Johnson,12H,2468,,,,
3041,John Smith,12H,9641,,,,
3042,Michael Lee,10A,9029,Approved,Covid-19,2025-05-05,Not Vaccinated
3043,Emily Davis,10F,3390,,,,
3044,Michael Lee,10A,8582,Approved,Flu,2025-04-23,Vaccinated
3045,Sarah Clark,11G,5192,Approved,HPV,2025-05-01,Vaccinated
3046,Sophia King,10F,5292,Approved,Covid-19,2025-05-21,Not Vaccinated
3047,Robert Johnson,10F,1025,Approved,Flu,2025-05-15,Vaccinated
3048,David Miller,8E,9072,Pending,Hepatitis B,2025-05-12,Vaccinated
3049,Chris Martin,12C,5647,,,,
